added,collx_id,number,name,team,year,brand,set,flags,condition,front_image,back_image,market_value,asking_price,sold_for_price,location,notes
3/23/25,592319444,577,Tim Costo,Cincinnati Reds,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319444-front.jpg,,0.99,1,,,
3/23/25,592319447,570,Tim Wallach,Montreal Expos,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319447-front.jpg,,0.00,22.99,,,
3/23/25,592319431,565,Jerald Clark,Colorado Rockies,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319431-front.jpg,,0.10,1,,,
3/23/25,592319437,564,Mike Timlin,Toronto Blue Jays,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319437-front.jpg,,0.74,1,,,
3/23/25,592319440,564,Mike Timlin,Toronto Blue Jays,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319440-front.jpg,,0.74,1,,,
3/23/25,592319442,569,Shawn Barton,Seattle Mariners,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319442-front.jpg,,0.37,1,,,
3/23/25,592319420,285,Bob Tewksbury,St. Louis Cardinals,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319420-front.jpg,,1.49,5,,,
3/23/25,592319423,733,Tom Browning,Cincinnati Reds,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319423-front.jpg,,7.75,18.99,,,
3/23/25,592319425,571,Dave Mlicki,Cleveland Indians,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319425-front.jpg,,3.15,4,,,
3/23/25,592319410,692,Chad Kreuter,Detroit Tigers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319410-front.jpg,,1.25,1,,,
3/23/25,592319412,254,Cory Snyder,San Francisco Giants,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319412-front.jpg,,0.99,1,,,
3/23/25,592319414,314,Mark Gardner,Montreal Expos,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319414-front.jpg,,0.45,2.7,,,
3/23/25,592319415,722,Chuck Carr,Florida Marlins,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319415-front.jpg,,0.99,10,,,
3/23/25,592319400,620,Todd Benzinger,Los Angeles Dodgers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319400-front.jpg,,0.99,4,,,
3/23/25,592319401,617,Craig Lefferts,Baltimore Orioles,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319401-front.jpg,,0.00,1,,,
3/23/25,592319402,775,Chris Bosio,Milwaukee Brewers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319402-front.jpg,,0.00,1,,,
3/23/25,592319404,495,Ken Hill,Montreal Expos,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319404-front.jpg,,0.00,1,,,
3/23/25,592319388,774,Curtis Leskanic,Colorado Rockies,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319388-front.jpg,,1.00,5,,,
3/23/25,592319391,754,Brian Jordan,St. Louis Cardinals,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319391-front.jpg,,1.66,2.5,,,
3/23/25,592319394,714,Kevin Gross,Los Angeles Dodgers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319394-front.jpg,,1.00,1,,,
3/23/25,592319384,733,Tom Browning,Cincinnati Reds,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319384-front.jpg,,7.75,7.75,,,
3/23/25,592319372,695,Kent Bottenfield,Montreal Expos,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319372-front.jpg,,0.99,1,,,
3/23/25,592319377,694,Shane Turner,Seattle Mariners,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319377-front.jpg,,0.30,1,,,
3/23/25,592319360,702,Tim Pugh,Cincinnati Reds,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319360-front.jpg,,1.75,3,,,
3/23/25,592319367,698,Ted Wood,San Francisco Giants,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319367-front.jpg,,1.99,2,,,
3/23/25,592319349,780,Jim Abbott,California Angels,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319349-front.jpg,,1.07,2,,,
3/23/25,592319350,716,Steve Cooke,Pittsburgh Pirates,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319350-front.jpg,,0.08,3.99,,,
3/23/25,592319351,733,Tom Browning,Cincinnati Reds,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319351-front.jpg,,7.75,7.75,,,
3/23/25,592319355,721,Rick Wilkins,Chicago Cubs,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319355-front.jpg,,0.15,2,,,
3/23/25,592319343,765,Vince Coleman,New York Mets,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319343-front.jpg,,0.00,1,,,
3/23/25,592319345,780,Jim Abbott,California Angels,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319345-front.jpg,,1.07,1.32,,,
3/23/25,592319346,745,Eric Davis,Los Angeles Dodgers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319346-front.jpg,,1.55,2,,,
3/23/25,592319336,757,Harold Reynolds,Seattle Mariners,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319336-front.jpg,,1.98,8,,,
3/23/25,592319340,758,Sean Berry,Montreal Expos,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319340-front.jpg,,0.00,1,,,
3/23/25,592319342,770,Robin Ventura,Chicago White Sox,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319342-front.jpg,,12.06,10,,,
3/23/25,592319331,752,Pat Hentgen,Toronto Blue Jays,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319331-front.jpg,,0.00,1,,,
3/23/25,592319333,734,Anthony Young,New York Mets,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319333-front.jpg,,4.63,6,,,
3/23/25,592319320,710,Mike Mussina,Baltimore Orioles,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319320-front.jpg,,1.59,3.99,,,
3/23/25,592319324,450,Darryl Strawberry,Los Angeles Dodgers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319324-front.jpg,,1.23,2,,,
